epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,35610.8,1.28215,0.6173,1.24404,0.82738,0.82554,0.87339,0.46591,1.74148,0.71439,1.59573,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36059.1,1.27516,0.61754,1.23187,0.82788,0.82585,0.87411,0.46619,1.7426,0.71407,1.59713,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,36433.1,1.27215,0.61192,1.23502,0.8294,0.8248,0.87389,0.46638,1.74402,0.71346,1.59837,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,36793.1,1.26118,0.6027,1.22282,0.82804,0.82514,0.87335,0.46635,1.74525,0.71331,1.59937,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37171.1,1.2489,0.6006,1.22146,0.82891,0.82512,0.87322,0.46599,1.74654,0.71265,1.60081,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,37561.5,1.23541,0.54207,1.25214,0.82798,0.82547,0.8731,0.46566,1.7478,0.71226,1.60198,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,37929.1,1.21926,0.53606,1.24214,0.82819,0.82588,0.87293,0.46581,1.74883,0.71188,1.60314,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,38298,1.20415,0.52857,1.2371,0.82692,0.82719,0.87298,0.46576,1.75019,0.7116,1.60464,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,38665.3,1.1954,0.52365,1.23035,0.82524,0.82806,0.87265,0.46581,1.75161,0.71128,1.60603,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39033.6,1.17735,0.51984,1.21862,0.82574,0.82739,0.87228,0.46542,1.75292,0.71108,1.60747,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,39401.7,1.17274,0.51571,1.21681,0.82462,0.82734,0.87193,0.46538,1.75461,0.71107,1.60933,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,39770.3,1.15938,0.51045,1.21015,0.82325,0.8282,0.87151,0.46506,1.75597,0.71061,1.61127,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,40138.6,1.1518,0.50463,1.20416,0.82312,0.82795,0.87154,0.46519,1.7573,0.70998,1.61293,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,40506.1,1.14263,0.5022,1.20056,0.82324,0.8276,0.871,0.46518,1.75869,0.70965,1.61496,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,40875.1,1.13772,0.50184,1.19706,0.82324,0.82846,0.8708,0.4649,1.75994,0.70979,1.61644,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
