epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,15936.1,1.60172,0.88411,1.34552,0.77374,0.74221,0.78436,0.37696,1.91199,0.93263,1.60099,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16143.9,1.59775,0.88408,1.3454,0.77357,0.74291,0.78463,0.377,1.91277,0.9318,1.60169,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16349.4,1.58832,0.87437,1.338,0.77558,0.74192,0.78468,0.37717,1.91327,0.93088,1.60216,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16555.3,1.58554,0.87438,1.3413,0.77427,0.74286,0.78467,0.37714,1.91415,0.92981,1.60317,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16762.3,1.57477,0.86739,1.3291,0.7739,0.74327,0.78458,0.3773,1.91487,0.9289,1.60391,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16969.9,1.56936,0.8603,1.32803,0.77387,0.74283,0.78406,0.37731,1.91589,0.92838,1.60477,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,17177.3,1.55916,0.85297,1.32256,0.77342,0.74383,0.78439,0.37716,1.91645,0.92765,1.60532,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,17384.1,1.55521,0.84626,1.32029,0.77397,0.74352,0.78432,0.37721,1.91729,0.92702,1.60627,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17590.9,1.54463,0.84528,1.31589,0.77362,0.74351,0.78438,0.3771,1.91854,0.92617,1.6075,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17801.1,1.54175,0.84101,1.30829,0.77245,0.7442,0.7848,0.37734,1.91931,0.92538,1.6082,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,18043.6,1.53887,0.83761,1.30762,0.77267,0.74344,0.78434,0.37738,1.92008,0.92455,1.60866,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,18250,1.52835,0.83297,1.30041,0.77277,0.74293,0.78384,0.37732,1.92104,0.92388,1.60939,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,18472,1.52308,0.82823,1.29961,0.77228,0.74383,0.78396,0.3773,1.92176,0.92288,1.60995,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18689.5,1.51708,0.82471,1.29584,0.77345,0.7431,0.78416,0.37712,1.92263,0.92228,1.61092,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18896.4,1.50584,0.81614,1.29127,0.77326,0.74342,0.78456,0.37703,1.92343,0.92176,1.61175,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,19116.1,1.48995,0.75871,1.33772,0.77509,0.74258,0.78474,0.37711,1.92452,0.92116,1.61278,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,19325.4,1.46724,0.74852,1.33481,0.77332,0.74391,0.78476,0.37725,1.92544,0.92031,1.61407,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,19533.1,1.45794,0.7405,1.3251,0.77319,0.74394,0.78486,0.37719,1.92615,0.91952,1.61511,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19739.2,1.44608,0.73513,1.32114,0.77502,0.74393,0.7856,0.37736,1.9271,0.91878,1.61622,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19947.8,1.43972,0.72855,1.31646,0.77457,0.74351,0.78505,0.37718,1.92823,0.9179,1.61757,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,20154.3,1.42382,0.72381,1.31076,0.77431,0.74367,0.78509,0.37711,1.92952,0.91692,1.61913,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,20362.2,1.4131,0.71578,1.30273,0.77477,0.74417,0.78482,0.37702,1.93071,0.91625,1.62049,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,20568.9,1.40386,0.7094,1.29912,0.77467,0.74374,0.78465,0.37709,1.9319,0.91532,1.62212,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20775.6,1.39667,0.70315,1.29455,0.77415,0.74421,0.78436,0.37693,1.93316,0.91489,1.62366,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20981.9,1.3913,0.70333,1.29434,0.7747,0.74292,0.78419,0.37692,1.93414,0.91432,1.6247,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
