epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,24696.4,1.79681,1.09325,1.35107,0.76254,0.69328,0.74867,0.35281,1.89317,1.05692,1.42648,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,24928.8,1.79778,1.09371,1.34475,0.76184,0.69319,0.7489,0.35325,1.89311,1.0556,1.42604,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,25162,1.79377,1.08442,1.34569,0.76196,0.69441,0.74928,0.35352,1.8928,1.05427,1.42547,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,25420.2,1.78475,1.0078,1.37461,0.76348,0.69485,0.74997,0.35376,1.89246,1.05274,1.42504,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,25649.8,1.76953,0.99398,1.37236,0.76466,0.6948,0.75067,0.35443,1.89194,1.05095,1.42467,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,25877.6,1.76537,0.98702,1.37326,0.7651,0.69542,0.75121,0.35467,1.89167,1.04923,1.4244,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,26113,1.76107,0.97824,1.36875,0.76384,0.69692,0.75138,0.35502,1.89144,1.04724,1.42409,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,26340.7,1.757,0.9659,1.36419,0.76423,0.6985,0.75257,0.35556,1.89141,1.04528,1.42388,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,26567.9,1.75058,0.9616,1.36064,0.76522,0.69937,0.75338,0.35611,1.89136,1.04302,1.42364,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,26796.6,1.74924,0.9571,1.36126,0.76565,0.70003,0.75406,0.35664,1.89134,1.0411,1.42336,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,27029.7,1.74237,0.95232,1.35734,0.7656,0.70115,0.75486,0.35697,1.89126,1.03911,1.42314,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,27259.9,1.74145,0.94723,1.35549,0.76816,0.70054,0.75533,0.3576,1.89118,1.03768,1.42291,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,27490.1,1.73548,0.9467,1.35338,0.76896,0.70167,0.7562,0.35803,1.89114,1.03604,1.42276,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
